"Provider","Lines","Percentage"
"Investing","129","0.013"
"Reuters","443","0.045"
"Fidelity","698","0.071"
"Benzinga","885","0.090"
"Yahoo","930","0.095"
"Webull","1033","0.105"
"Dividend","1471","0.150"
"Barchart","1560","0.159"
"RendementBourse","1697","0.173"
"MorningStar","2117","0.216"
"SeekingAlpha","2255","0.230"
"MacroTrends","2427","0.248"
"Fool","3137","0.320"
"WallStreetJournal","3149","0.321"
"MarketWatch","3149","0.321"
"TradingView","6759","0.689"
"Total","9803","1"
