Timestamp,Tick
2021-03-05 15:00:46.486400,Q|5378||120.28|16|120.5|137||1614952846.4864|
2021-03-05 15:00:46.486400,Q|5379||120.23|1|120.5|137||1614952846.4864|
2021-03-05 15:00:46.486400,Q|5380||120.3|10|120.5|137||1614952846.4864|
2021-03-05 15:00:46.507500,Q|5381||120.23|1|120.5|137||1614952846.5075|
2021-03-05 15:00:50.257100,Q|5382||120.25|150|120.5|137||1614952850.2571|
2021-03-05 15:00:51.543100,Q|5383||120.28|10|120.5|137||1614952851.5431|
2021-03-05 15:00:51.543100,Q|5384||120.25|150|120.5|137||1614952851.5431|
2021-03-05 15:00:58.782000,Q|5385||120.25|150|120.31|10||1614952858.782|
2021-03-05 15:00:58.782000,Q|5386||120.25|150|120.3|19||1614952858.782|
2021-03-05 15:00:58.831800,Q|5387||120.25|150|120.5|137||1614952858.8318|
2021-03-05 15:00:59.119600,T|5388||120.28|10||1614952859.1196|||||||||
2021-03-05 15:00:59.119600,Q|5389||120.25|150|120.3|10||1614952859.1196|
2021-03-05 15:00:59.119600,Q|5390||120.25|150|120.29|16||1614952859.1196|
2021-03-05 15:00:59.142000,Q|5391||120.25|150|120.5|137||1614952859.142|
2021-03-05 15:01:00.608600,Q|5392||120.27|62|120.5|137||1614952860.6086|
2021-03-05 15:01:00.608600,Q|5393||120.29|10|120.5|137||1614952860.6086|
2021-03-05 15:01:00.608600,Q|5394||120.3|100|120.5|137||1614952860.6086|
2021-03-05 15:01:00.608600,Q|5395||120.3|200|120.5|137||1614952860.6086|
2021-03-05 15:01:00.608600,Q|5396||120.3|100|120.5|137||1614952860.6086|
2021-03-05 15:01:00.608600,Q|5397||120.27|62|120.5|137||1614952860.6086|
2021-03-05 15:01:00.608600,Q|5398||120.25|150|120.5|137||1614952860.6086|
2021-03-05 15:01:01.304100,Q|5399||120.3|62|120.5|137||1614952861.3041|
2021-03-05 15:01:01.304100,Q|5400||120.32|10|120.5|137||1614952861.3041|
2021-03-05 15:01:01.326800,Q|5401||120.25|150|120.5|137||1614952861.3268|
2021-03-05 15:01:02.019800,Q|5402||120.25|150|120.36|10||1614952862.0198|
2021-03-05 15:01:02.019800,Q|5403||120.25|150|120.38|200||1614952862.0198|
2021-03-05 15:01:02.019800,Q|5404||120.25|150|120.38|100||1614952862.0198|
2021-03-05 15:01:02.019800,Q|5405||120.25|150|120.5|137||1614952862.0198|
2021-03-05 15:01:02.019800,Q|5406||120.25|150|120.32|100||1614952862.0198|
2021-03-05 15:01:02.371500,Q|5407||120.25|150|120.5|137||1614952862.3715|
