Timestamp,Tick
2021-03-05 15:07:50.485100,T|132||2.664|1000|1|1614953270.4851|140750000000000|||140750466695000|||||||219249750|1|||||||0|
2021-03-05 15:08:59.177300,T|133||2.66|525|1|1614953339.1773|140859000000000|||140859162764000|||||||220060310|1|||||||0|
2021-03-05 15:08:59.177300,T|134||2.66|10000|1|1614953339.1773|140859000000000|||140859162764000|||||||220060950|1|||||||0|
