GUID,ISIN,TRA_TYPE,EXECUTION_PRICE,ORDER_TIMESTAMP,EXECUTION_TIMESTAMP,STOCK_EXCHANGE,INSTR_CCY,SET_CURRENCY,TRADE_CCY,INSTR_CLASS,INSTR_SUB_CLASS,INSTR_DESC,Source,Symbol
D3979177,US2253101016,BUY,615.613,2021-10-19 15:32:56.000,2021-10-19 20:59:42.000,XNGS,USD,USD,,SWAP,CFD_OLD,Credit Acceptance -CFD,564,CACC
335BB44F,US64110L1061,BUY,636.03,2021-10-19 15:32:56.000,2021-10-19 15:34:26.000,XNGS,USD,USD,,SWAP,CFD_OLD,Netflix -CFD,564,NFLX
65F8AB69,US38046C1099,BUY,16.7834,2021-10-19 15:32:56.000,2021-10-19 20:59:55.000,XNGS,USD,USD,,SWAP,CFD_OLD,Gogo -CFD,564,GOGO
B486C4BF,US97717P1049,BUY,5.8507,2021-10-19 15:32:56.000,2021-10-19 20:59:51.000,XNGS,USD,USD,,SWAP,CFD_OLD,WisdomTree Investments -CFD,564,WETF
B29891E0,FR0000120107,SELL,64.5943,2021-10-19 08:29:35.000,2021-10-19 16:35:09.000,XPAR,EUR,EUR,,EQTY,ORD,Savencia,787,E:SAVE
4F404445,FR0000120107,SELL,64.631,2021-10-18 08:21:22.000,2021-10-18 16:35:23.000,XPAR,EUR,EUR,,EQTY,ORD,Savencia,787,E:SAVE
2E0FD95F,FR0000120107,SELL,64.7065,2021-10-15 07:49:26.000,2021-10-15 16:35:19.000,XPAR,EUR,EUR,,EQTY,ORD,Savencia,787,E:SAVE
E7F623E3,NL0015000IY2,SELL,24.8039,2021-10-14 08:23:29.000,2021-10-14 16:35:19.000,XAMS,EUR,EUR,,EQTY,ORD,Universal Music Group,787,E:UMG
85CF8228,ANN4327C1220,SELL,101.5896,2021-10-14 08:23:29.000,2021-10-14 16:35:23.000,XAMS,EUR,EUR,,SWAP,CFD_OLD,Hunter Douglas -CFD,787,E:HDG
B4F3DEF9,FR0000120107,SELL,64.6082,2021-10-14 08:23:29.000,2021-10-14 16:35:17.000,XPAR,EUR,EUR,,EQTY,ORD,Savencia,787,E:SAVE
44090489,NL0012969182,BUY,2591.6,2021-10-14 08:23:29.000,2021-10-14 16:35:13.000,XAMS,EUR,EUR,,SWAP,CFD_OLD,Adyen -CFD,787,E:ADYEN
