time,open,high,low,close,Volume,Volume MA
1353508200,1387.79,1391.25,1386.39,1391.03,2667090000,3518923500
1353681000,1391.03,1409.16,1391.03,1409.15,1504960000,3414788000
1353940200,1409.15,1409.15,1397.68,1406.29,2948960000,3392937500
1354026600,1406.29,1409.01,1398.03,1398.94,3323120000,3383461500
1354113000,1398.77,1410.31,1385.43,1409.93,3359250000,3387178500
1354199400,1409.96,1419.7,1409.04,1415.95,3356850000,3376165500
1354285800,1415.95,1418.86,1411.63,1416.18,3966000000,3377971000
1354545000,1416.34,1423.73,1408.46,1409.46,3074280000,3345061000
1354631400,1409.46,1413.14,1403.65,1407.05,3247710000,3361394500
1354717800,1407.05,1415.56,1398.23,1409.28,4253920000,3408742000
1354804200,1409.43,1413.95,1405.93,1413.94,3229700000,3352402500
1354890600,1413.95,1420.34,1410.9,1418.07,3125160000,3319684500
1355149800,1418.07,1421.64,1415.64,1418.55,2999430000,3287288500
1355236200,1418.55,1434.27,1418.55,1427.84,3650230000,3341423000
1355322600,1427.84,1438.59,1426.76,1428.48,3709050000,3354098000
1355409000,1428.48,1431.36,1416,1419.45,3349960000,3316120500
1355495400,1419.45,1419.45,1411.88,1413.58,3210170000,3280185500
1355754600,1413.54,1430.67,1413.54,1430.36,3455610000,3250670500
1355841000,1430.47,1448,1430.47,1446.79,4302240000,3297042500
1355927400,1446.79,1447.75,1435.8,1435.81,3869800000,3330174500
1356013800,1435.81,1443.7,1432.82,1443.69,3686580000,3381149000
1356100200,1443.67,1443.67,1422.58,1430.15,5229160000,3567359000
1356359400,1430.15,1430.15,1424.66,1426.66,1248960000,3482359000
1356532200,1426.66,1429.42,1416.43,1419.83,2285030000,3430454500
1356618600,1419.83,1422.8,1401.8,1418.1,2830180000,3404001000
1356705000,1418.1,1418.1,1401.58,1402.43,2426680000,3357492500
1356964200,1402.43,1426.74,1398.11,1426.19,3204330000,3319409000
1357137000,1426.19,1462.43,1426.19,1462.42,4202600000,3375825000
1357223400,1462.42,1465.47,1455.53,1459.37,3829730000,3404926000
1357309800,1459.37,1467.94,1458.99,1466.47,3424290000,3363444500
