index,Price_1,Price_2,Spread,z_score,z_score_evol,z_score_avg_week,avg_volatility,correlation,corr_evol,month,week,target
0,117.78,103.57,,,,,,,,1,3,0
1,111.64,105.14,-0.0297857186027544,,,,,,,1,4,0
2,105.94,103.41,-0.0155544246622181,,,,,,,1,5,0
3,112.95,99.03,0.0466220257344389,,,,,,,2,6,0
4,116.92,101.2,0.0055888379752106,,,,,,,2,7,0
5,118.87,102.6,0.0012166077487027,,,,,,,2,8,0
6,138.37,102.58,0.0660543442789934,,,,0.3405888931253,0.2394090785999374,,3,9,0
7,134.31,105.17,-0.0237627710253161,-1.135292893302866,-0.2523898076589398,,0.3359315625690946,0.3547419236474134,0.0596167157999155,3,10,0
8,134.22,104.57,0.0021936512773915,-0.3853727698015298,0.8704383928043149,-0.8767534198975346,0.326882632306169,0.6904914634502777,0.0713565100698685,3,11,0
9,124.84,101.2,-0.0172368789718751,-0.815963700105263,-0.1695180490013895,-0.8351977523568219,0.3363100266059572,0.7603243782641793,-0.005196740612437,3,12,0
10,131.73,99.34,0.0313872886753308,0.7606430012317728,-0.1195265899392004,0.5753336299929336,0.3433128920099006,0.4351529207741479,-0.0734838610773845,3,13,0
11,132.58,98.56,0.0062167836963156,-0.1516956003781398,0.1502563771047024,-0.0102561127059942,0.3438372991782468,0.3482056345709584,0.0393013649807525,4,14,-1
12,123.68,102.55,-0.0474135079912966,-2.167367774307357,-1.530975134384729,-0.8282193470510247,0.2558804352548977,0.3438258000480202,-0.0218292360371734,4,15,0
13,127.06,102.23,0.0130666783348362,0.8626749495328231,1.207954359762027,-0.6692164204494779,0.2615441332267906,0.0967181748638626,-0.073605064657618,4,16,1
14,132.76,95.73,0.0475886946186925,1.8380759026122504,-0.0083523088241561,1.3538751940777969,0.2874356151875951,-0.4010933975941632,-0.0505167960406233,4,17,0
15,136.16,98.66,-0.0021107532090031,-0.4453472605540198,-0.3941646023174011,0.7051725795270747,0.2696365506084902,-0.670520169434622,0.000657649380556,5,18,0
16,136.71,100.23,-0.0051058786700727,-0.379709003626978,-0.153290657101097,-0.4612199915698682,0.2517131186369971,-0.6489019544868511,0.003375629383416,5,19,0
17,129.37,95.68,-0.0037901414398063,-0.2866629696124781,0.1512314104197482,-0.0181279087708161,0.267796855040304,-0.5926820677913219,0.054038882276287,5,20,0
18,137.93,97.06,0.0216060377243996,0.6145023747251128,-0.0392319854305525,-0.0463664116397709,0.2507255197972735,-0.5379652778154141,-0.0059145618908851,5,21,0
19,137.16,98.65,-0.0094880623742141,-0.8939299450871877,0.0688451531233241,-0.4625723069171134,0.2543318747418501,-0.1955642399728737,0.1341350732977529,6,23,0
20,140.94,99.33,0.008823444834822,0.1641870431034625,-0.0438781460248661,0.0067182975630602,0.2002595285802325,0.6116873707495127,0.0275420343175796,6,24,-1
21,127.62,100.46,-0.0480282652266764,-2.461457687984583,-0.1752775477999955,-1.981871650232599,0.2132429456042096,0.362725220931561,-0.1001005945022976,6,25,1
22,132.8,96.55,0.034520230453743,1.8076852583746488,0.8107187387922926,0.4717866738717642,0.2190719105448372,0.0968096797292032,-0.0135002368595864,6,26,0
23,137.46,99.34,0.0026063869972514,0.1478178805963426,0.060108430020635,0.6257245499507886,0.2117855931963379,0.0260097285315436,-0.057541339026029,7,27,0
24,134.5,104.39,-0.0309887971609275,-1.4193627066412189,-1.3643130697471904,-0.5204867715528911,0.2193199004352781,0.0183780757618618,0.0693189809576511,7,28,0
25,136.14,110.11,-0.0179044031218732,-0.3816178734021771,0.6819675597624599,-1.3276227811807733,0.2329993288274109,-0.0668277482159779,0.0365240324869848,7,29,0
