TimeStamp,Mapping,RAW
,0 => E:BNP from 787,
,1 => E:BNP from EQUITY_L2_973,
2021-11-01T14:00:00.0585000Z,1,Q|363014||1635775199472626565|||||||0|||||140000028647557||
2021-11-01T14:00:00.1884000Z,1,Q|363015||1635775200172938624|59.6|141|0|||||||||140000172961234||
2021-11-01T14:00:00.1884000Z,1,Q|363016||1635775195317745713||0|||||||||0|140000173074834||
2021-11-01T14:00:00.1884000Z,1,Q|363017||1635775200172938624|59.6|141|0||||||||0|||
2021-11-01T14:00:00.1884000Z,1,Q|363018||1635775200172938624||0|||||||||0|140000173074834||
2021-11-01T14:00:00.1884000Z,1,Q|363019||1635775187733913007|59.59|41|0||||||||0|||
2021-11-01T14:00:00.1884000Z,1,Q|363020||1635775195381025663||0||||||||||140000173126810||
2021-11-01T14:00:00.1884000Z,1,Q|363021||1635775200173130095|59.59|35|0|||||||||140000173154518||
2021-11-01T14:00:00.1884000Z,1,Q|363022||1635775196405378255||0||||||||||140000173164738||
2021-11-01T14:00:00.1884000Z,1,Q|363023||1635775196542736929||0||||||||||140000173164738||
2021-11-01T14:00:00.1884000Z,1,Q|363024||1635775196399682212||0||||||||||140000173173374||
2021-11-01T14:00:00.1884000Z,1,Q|363025||1635775200173562347|59.6|24|0||||||||0|140000173581948||
2021-11-01T14:00:00.1884000Z,1,Q|363026||1635775200173562347||0|||||||||0|140000173648551||
2021-11-01T14:00:00.1884000Z,1,Q|363027||1635775187733913007|59.59|41|0||||||||0|||
2021-11-01T14:00:00.1884000Z,1,Q|363028||1635775200173130095||0||||||||||140000173648551||
2021-11-01T14:00:00.1884000Z,1,Q|363029||1635775200173632460||||||59.61|35|0||||140000173651715||
2021-11-01T14:00:00.1884000Z,1,Q|363030||1635775200173831392||||||59.61|51|0||||140000173850051||
2021-11-01T14:00:00.1884000Z,1,Q|363031||1635775196702206163|||||||0|||||140000174974209||
2021-11-01T14:00:00.1884000Z,1,Q|363032||1635775200173632460|||||||0|||||140000175024425||
2021-11-01T14:00:00.1884000Z,1,Q|363033||1635775200173831392|||||||0|||||140000175024425||
2021-11-01T14:00:00.1884000Z,0,T|30279||||||||0|||140000173114858|||||||||1|30200122||1|2||0|0|0|0|0|0|59.6|6|0010003822081|140000172995322|0|20|10|0|0|
