"Provider","Lines","Percentage"
"C49","259","0.003"
"C45","740","0.008"
"C12","6274","0.069"
"C48","8221","0.091"
"A36","9758","0.107"
"A34","14767","0.163"
"C16","20265","0.223"
"B46","24611","0.271"
"A35","36016","0.397"
"C50","39118","0.431"
"B11","44183","0.487"
"C42","45279","0.499"
"C29","58902","0.649"
"C44","58902","0.649"
"C37","78653","0.866"
"Total","90798","1"
